

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.006  000.006: --- NVIM STARTING ---
000.075  000.069: event init
000.178  000.103: early init
000.459  000.281: locale set
000.502  000.043: init first window
000.804  000.302: inits 1
000.821  000.016: window checked
000.823  000.002: parsing arguments
001.250  000.029  000.029: require('vim.shared')
001.328  000.034  000.034: require('vim._options')
001.330  000.077  000.044: require('vim._editor')
001.332  000.178  000.072: require('vim._init_packages')
001.333  000.332: init lua interpreter
003.471  002.138: expanding arguments
003.505  000.034: inits 2
003.749  000.244: init highlight
003.750  000.001: waiting for UI
003.876  000.127: done waiting for UI
003.881  000.005: clear screen
004.042  000.160: init default mappings & autocommands
004.717  000.070  000.070: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/ftplugin.vim
004.811  000.025  000.025: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/indent.vim
005.286  000.290  000.290: require('core.options')
005.996  000.554  000.554: require('lazy')
006.024  000.018  000.018: require('ffi')
006.068  000.041  000.041: require('vim.loader')
006.151  000.032  000.032: require('vim.fs')
006.422  000.336  000.304: require('lazy.stats')
006.708  000.256  000.256: require('lazy.core.util')
006.818  000.108  000.108: require('lazy.core.config')
007.116  000.085  000.085: require('lazy.core.handler')
007.219  000.102  000.102: require('lazy.core.plugin')
007.224  000.405  000.218: require('lazy.core.loader')
007.580  000.075  000.075: require('plugins.config.autopair')
007.721  000.130  000.130: require('plugins.config.comment')
007.804  000.075  000.075: require('plugins.config.copilot')
007.939  000.127  000.127: require('plugins.config.dashboard')
008.076  000.126  000.126: require('plugins.config.horizon')
008.189  000.105  000.105: require('plugins.config.indent')
008.295  000.098  000.098: require('plugins.config.lsp')
008.454  000.082  000.082: require('plugins.config.lualine')
008.551  000.084  000.084: require('plugins.config.modicator')
008.691  000.087  000.087: require('plugins.config.oil')
008.791  000.072  000.072: require('plugins.config.smartcolumn')
008.948  000.148  000.148: require('plugins.config.telescope')
009.111  000.135  000.135: require('plugins.config.treesitter')
009.380  000.119  000.119: require('lazy.core.handler.cmd')
009.547  000.165  000.165: require('lazy.core.handler.event')
009.735  000.186  000.186: require('lazy.core.handler.ft')
009.825  000.088  000.088: require('lazy.core.handler.keys')
010.326  000.200  000.200: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/filetype.lua
011.511  000.070  000.070: require('horizon.palette')
011.513  000.242  000.171: require('horizon.theme')
011.515  000.508  000.266: require('horizon')
012.179  001.184  000.676: sourcing /Users/amer3107/.local/share/nvim/lazy/horizon.nvim/colors/horizon.vim
012.389  000.019  000.019: sourcing /Users/amer3107/.local/share/nvim/lazy/plenary.nvim/plugin/plenary.vim
012.733  000.012  000.012: sourcing /Users/amer3107/.local/share/nvim/lazy/todo-comments.nvim/plugin/todo.vim
013.616  000.144  000.144: require('todo-comments.util')
013.627  000.343  000.199: require('todo-comments.config')
013.903  000.133  000.133: require('todo-comments.highlight')
013.908  000.280  000.147: require('todo-comments.jump')
013.910  001.054  000.431: require('todo-comments')
014.177  000.006  000.006: require('vim.keymap')
014.194  000.162  000.156: sourcing /Users/amer3107/.local/share/nvim/lazy/telescope.nvim/plugin/telescope.lua
014.514  000.157  000.157: require('project_nvim.config')
014.750  000.109  000.109: require('project_nvim.utils.path')
014.755  000.241  000.132: require('project_nvim.utils.history')
014.756  000.550  000.153: require('project_nvim')
014.894  000.076  000.076: require('project_nvim.utils.globtopattern')
015.027  000.077  000.077: require('project_nvim.project')
015.449  000.079  000.079: require('vim.lsp.log')
015.905  000.427  000.427: require('vim.lsp.protocol')
016.180  000.111  000.111: require('vim.lsp._snippet')
016.250  000.069  000.069: require('vim.highlight')
016.257  000.004  000.004: require('vim.F')
016.275  000.369  000.185: require('vim.lsp.util')
016.325  001.035  000.160: require('vim.lsp.handlers')
016.456  000.130  000.130: require('vim.lsp.rpc')
016.532  000.075  000.075: require('vim.lsp.sync')
016.647  000.114  000.114: require('vim.lsp.semantic_tokens')
016.768  000.119  000.119: require('vim.lsp.buf')
016.857  000.087  000.087: require('vim.lsp.diagnostic')
016.941  000.084  000.084: require('vim.lsp.codelens')
016.989  001.959  000.316: require('vim.lsp')
017.328  000.131  000.131: require('telescope._extensions')
017.333  000.267  000.136: require('telescope')
017.831  000.051  000.051: require('plenary.functional')
017.836  000.170  000.119: require('plenary.job')
018.167  000.049  000.049: require('plenary.bit')
018.185  000.134  000.085: require('plenary.path')
018.196  000.193  000.059: require('plenary.strings')
018.251  000.054  000.054: require('telescope.state')
018.347  000.095  000.095: require('telescope.config.resolve')
018.348  000.404  000.062: require('telescope.pickers.entry_display')
018.575  000.094  000.094: require('plenary.log')
018.608  000.191  000.098: require('telescope.log')
018.613  000.264  000.073: require('telescope.utils')
018.618  000.780  000.113: require('telescope.make_entry')
018.910  000.045  000.045: require('plenary.tbl')
018.912  000.095  000.050: require('plenary.vararg.rotate')
018.913  000.142  000.047: require('plenary.vararg')
019.002  000.088  000.088: require('plenary.errors')
019.004  000.281  000.051: require('plenary.async.async')
019.240  000.091  000.091: require('plenary.async.structs')
019.244  000.144  000.053: require('plenary.async.control')
019.247  000.196  000.052: require('plenary.async.util')
019.249  000.243  000.047: require('plenary.async.tests')
019.250  000.576  000.052: require('plenary.async')
019.251  000.633  000.057: require('telescope.finders.async_static_finder')
019.416  000.046  000.046: require('plenary.class')
019.423  000.113  000.067: require('telescope._')
019.425  000.172  000.059: require('telescope.finders.async_oneshot_finder')
019.521  000.096  000.096: require('telescope.finders.async_job_finder')
019.526  002.008  000.156: require('telescope.finders')
019.822  000.095  000.095: require('plenary.window.border')
019.869  000.046  000.046: require('plenary.window')
019.914  000.044  000.044: require('plenary.popup.utils')
019.916  000.250  000.065: require('plenary.popup')
020.315  000.106  000.106: require('telescope.deprecated')
020.437  000.122  000.122: require('telescope.sorters')
020.502  000.059  000.059: require('vim.inspect')
021.745  001.708  001.421: require('telescope.config')
021.899  000.152  000.152: require('telescope.pickers.scroller')
022.028  000.128  000.128: require('telescope.actions.state')
022.200  000.171  000.171: require('telescope.actions.utils')
022.445  000.109  000.109: require('telescope.actions.mt')
022.491  000.290  000.181: require('telescope.actions.set')
022.551  000.058  000.058: require('telescope.from_entry')
022.671  002.754  000.247: require('telescope.actions')
022.735  000.062  000.062: require('telescope.debounce')
022.864  000.128  000.128: require('telescope.mappings')
022.927  000.061  000.061: require('telescope.pickers.highlights')
022.982  000.054  000.054: require('telescope.pickers.window')
023.101  000.058  000.058: require('telescope.algos.linked_list')
023.103  000.121  000.062: require('telescope.entry_manager')
023.157  000.053  000.053: require('telescope.pickers.multi')
023.166  003.639  000.155: require('telescope.pickers')
023.308  000.142  000.142: require('telescope.builtin')
023.311  005.977  000.189: require('telescope._extensions.projects')
023.578  000.022  000.022: sourcing /Users/amer3107/.local/share/nvim/lazy/nvim-web-devicons/plugin/nvim-web-devicons.vim
023.984  000.352  000.352: require('oil')
024.031  000.046  000.046: require('oil.ringbuf')
024.111  000.066  000.066: require('oil.config')
024.856  000.594  000.594: require('vim.filetype')
